simplified,radical,level,frequency,pos,pinyin,meanings,count
怀旧,忄,7,11833,vn,huái jiù,"to feel nostalgic,nostalgia",1
怀里,忄,7,8879,s,huái lǐ,"embrace,bosom",1
怀念,忄,6,3668,v,huái niàn,"to cherish the memory of,to think of,to reminisce",1
怀疑,忄,4,1763,v,huái yí,"to doubt (sth),to be skeptical of,to have one's doubts,to harbor suspicions,to suspect that",1
怀孕,忄,6,3299,v,huái yùn,"pregnant,to have conceived,gestation,pregnancy",1
怀着,忄,7,7193,v,huáizhe,Be with,1
槐树,木,7,61916,n,huái shù,locust tree (Sophora japonica),1
坏,土,2,1239,a,huài,"bad,spoiled,broken,to break down,(suffix) to the utmost",1
坏处,土,4,18345,n,huài chu,"harm,troubles",1
坏人,土,2,5700,n,huài rén,"bad person,villain",1
坏事,土,7,5994,n,huài shì,"bad thing; misdeed,to ruin things",1
环,王,6,2712,n,Huán,surname Huan,2
环保,王,4,4327,n,huán bǎo,"environmental protection,environmentally friendly,abbr. for 环境保护",1
环节,王,5,3149,n,huán jié,"(zoology) segment (of the body of a worm, centipede etc),(fig.) a part of an integrated whole: aspect (of a project)",1
环境,王,3,1171,n,huán jìng,"environment,circumstances,surroundings,ambient",1
环球,王,7,6667,n,huán qiú,"around the world,worldwide",1
环绕,王,7,10875,v,huán rào,"to surround,to circle,to revolve around",1
缓,纟,7,7310,v,huǎn,"slow,unhurried,sluggish,gradual,not tense,relaxed,to postpone,to defer,to stall,to stave off,to revive,to recuperate",1
缓和,纟,7,12437,v,huǎn hé,"to ease (tension),to alleviate,to moderate,to allay,to make more mild",1
缓缓,纟,7,9751,d,huǎn huǎn,"slowly,unhurriedly,little by little",1
缓解,纟,5,5722,v,huǎn jiě,"to bring relief,to alleviate (a crisis),to dull (a pain)",1
缓慢,纟,5,6772,a,huǎn màn,slow,1
幻觉,幺,7,9883,n,huàn jué,"illusion,hallucination,figment of one's imagination",1
幻想,幺,6,3672,n,huàn xiǎng,"delusion,fantasy",1
幻影,幺,7,16031,n,huàn yǐng,"phantom,mirage",1
唤起,口,7,15352,v,huàn qǐ,"to waken (to action),to rouse (the masses),to evoke (attention, recollection etc)",1
换,扌,3,618,v,huàn,"to exchange,to change (clothes etc),to substitute,to switch,to convert (currency)",1
换成,扌,7,14335,v,huàn chéng,"to exchange (sth) for (sth else),to replace with,to convert into",1
换取,扌,7,10449,v,huàn qǔ,"to obtain (sth) in exchange,to exchange (sth) for (sth else)",1
换位,扌,7,24157,v,huàn wèi,"to swap places,(logic) conversion,(car maintenance) to rotate (tires)",1
换言之,扌,7,26895,cc,huàn yán zhī,in other words,1
患,心,6,2581,v,huàn,"to suffer (from illness),to contract (a disease),misfortune,trouble,danger,worry",1
患病,心,7,14803,v,huàn bìng,to fall ill,1
患有,心,7,10482,v,huàn yǒu,"to contract (an illness),to be afflicted with,to suffer from",1
患者,心,6,2539,n,huàn zhě,patient; sufferer,1
焕发,火,7,21881,v,huàn fā,"to shine,to glow,to irradiate,to flash",1
欢呼,欠,7,6063,v,huān hū,"to cheer for,to acclaim",1
